# cl_fitness_format
# /Users/mac/.hermes/hermes-agent/venv/bin/python -m scripts.eval.exp_closedloop --personas fitness_format --seeds 3 --turns 10 --conditions A,B,echo --out /Users/mac/code/Echo/scripts/eval/results/shards/cl_fitness_format.jsonl --usage-out /Users/mac/code/Echo/scripts/eval/results/shards/usage_fitness_format.json

[setup] isolated Echo DB at /var/folders/mb/b5mndrkj6n30p9w2wwl4w74h0000gn/T/echo_cl_kqmv_n_0/state.db
[1/9] fitness_format seed=0 cond=A (0s elapsed)
[2/9] fitness_format seed=0 cond=B (212s elapsed)
[3/9] fitness_format seed=0 cond=echo (469s elapsed)
[4/9] fitness_format seed=1 cond=A (682s elapsed)
[5/9] fitness_format seed=1 cond=B (898s elapsed)
[6/9] fitness_format seed=1 cond=echo (1112s elapsed)
[7/9] fitness_format seed=2 cond=A (1267s elapsed)
[8/9] fitness_format seed=2 cond=B (1484s elapsed)
[9/9] fitness_format seed=2 cond=echo (1737s elapsed)

DONE in 1875s. usage -> {'agent': {'name': 'agent(mimo)', 'calls': 193, 'prompt_tokens': 78974, 'completion_tokens': 40197, 'total_tokens': 119171, 'errors': 0}, 'persona': {'name': 'persona(deepseek)', 'calls': 163, 'prompt_tokens': 72198, 'completion_tokens': 107025, 'total_tokens': 179223, 'errors': 0}, 'eval': {'name': 'evaluator(glm-5.2)', 'calls': 90, 'prompt_tokens': 37726, 'completion_tokens': 630, 'total_tokens': 38356, 'errors': 0}}
