# cl_signoff_quirk
# /Users/mac/.hermes/hermes-agent/venv/bin/python -m scripts.eval.exp_closedloop --personas signoff_quirk --seeds 3 --turns 10 --conditions A,B,echo --out /Users/mac/code/Echo/scripts/eval/results/shards/cl_signoff_quirk.jsonl --usage-out /Users/mac/code/Echo/scripts/eval/results/shards/usage_signoff_quirk.json

[setup] isolated Echo DB at /var/folders/mb/b5mndrkj6n30p9w2wwl4w74h0000gn/T/echo_cl_ep5miiuz/state.db
[1/9] signoff_quirk seed=0 cond=A (0s elapsed)
[2/9] signoff_quirk seed=0 cond=B (179s elapsed)
[3/9] signoff_quirk seed=0 cond=echo (354s elapsed)
[4/9] signoff_quirk seed=1 cond=A (490s elapsed)
[5/9] signoff_quirk seed=1 cond=B (646s elapsed)
[6/9] signoff_quirk seed=1 cond=echo (842s elapsed)
[7/9] signoff_quirk seed=2 cond=A (949s elapsed)
[8/9] signoff_quirk seed=2 cond=B (1120s elapsed)
[9/9] signoff_quirk seed=2 cond=echo (1296s elapsed)

DONE in 1413s. usage -> {'agent': {'name': 'agent(mimo)', 'calls': 184, 'prompt_tokens': 48080, 'completion_tokens': 15009, 'total_tokens': 63089, 'errors': 0}, 'persona': {'name': 'persona(deepseek)', 'calls': 154, 'prompt_tokens': 47401, 'completion_tokens': 101380, 'total_tokens': 148781, 'errors': 0}, 'eval': {'name': 'evaluator(glm-5.2)', 'calls': 90, 'prompt_tokens': 24414, 'completion_tokens': 630, 'total_tokens': 25044, 'errors': 0}}
